Variable,Value,var_type,var_linenum
hover_throttle,0.5,float,43
s,0.978,float,52
b,3.5,float,53
c,0.28,float,54
c_lift_0,0.35,float,55
c_lift_deltae,0.011,float,56
c_lift_a,5.82,float,57
c_lift_q,11.9,float,58
mcoeff,50,float,59
oswald,0.7,float,60
alpha_stall,0.3,float,61
c_drag_q,0,float,62
c_drag_deltae,0,float,63
c_drag_p,0.16,float,64
c_y_0,0,float,65
c_y_b,-0.856,float,66
c_y_p,0.013,float,67
c_y_r,0.372,float,68
c_y_deltaa,0,float,69
c_y_deltar,-0.004,float,70
c_l_0,0,float,71
c_l_p,-0.616,float,72
c_l_b,-0.027,float,73
c_l_r,0.132,float,74
c_l_deltaa,0.439,float,75
c_l_deltar,0,float,76
c_m_0,0,float,77
c_m_a,-2.169,float,78
c_m_q,-16.26,float,79
c_m_deltae,1.598,float,80
c_n_0,0,float,81
c_n_b,0.163,float,82
c_n_p,0.038,float,83
c_n_r,-0.09,float,84
c_n_deltaa,-0.021,float,85
c_n_deltar,0.061,float,86
deltaa_max,0.3491,float,87
deltae_max,0.3491,float,88
deltar_max,0.3491,float,89
CGOffset_x,-0.1,Vector3f,92
CGOffset_y,0,Vector3f,92
CGOffset_z,-0.05,Vector3f,92
Ixx,2.1408,float,x
Iyy,8.7344,float,x
Izz,10.7211,float,x
Ixz,0.1149,float,x
mass,23.5,float,x
c_drag_0,0.16
